"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10","Rep 11","Rep 12","Rep 13","Rep 14","Rep 15","Rep 16","Rep 17","Rep 18","Rep 19","Rep 20","Rep 21","Rep 22","Rep 23","Rep 24","Rep 25","Rep 26","Rep 27","Rep 28","Rep 29","Rep 30"
"BPM 01_UltimaOrdemCompleta Value","DSTAT AVERAGE","Variable","User Specified","BPM 01_UltimaOrdemCompleta",24.7685014037011,24.3050617809181,24.7615439397648,24.7430401092199,24.863297319371,23.7589561115466,23.6669642186632,24.3178032804076,24.6112867900188,24.8675785130451,24.147447865145,24.8263803359417,24.3890101779931,24.9187367081564,24.3184468872324,23.9314095779319,25.0983441704469,24.7160177187671,24.4443004646819,24.4652900161223,24.8705112917102,24.683081480287,24.364065653453,23.9994364868332,24.3830190074845,24.6634946458863,24.3704495506278,24.2079989165409,25.1321016844665,24.8178047134955
"BPM 02.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","BPM 02",0.583886055256333,0.544313751233413,0.556633882889397,0.570851697931784,0.591444984649834,0.533702393820724,0.533262600315319,0.54814441375812,0.578550017912637,0.582038943487468,0.557279997331886,0.594186492305039,0.556640180180004,0.561821534623064,0.587506804578738,0.55638664480008,0.576236182099715,0.562383398237078,0.562339992639467,0.557941239293888,0.56409121736313,0.592605391775017,0.561718218873699,0.542584844191626,0.556230740066197,0.555455943867655,0.576970556700112,0.5520786840655,0.571775093097732,0.59400102571379
"BPM 02.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","BPM 02",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BPM 02.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","BPM 02",0.583886055256333,0.544313751233413,0.556633882889397,0.570851697931784,0.591444984649834,0.533702393820724,0.533262600315319,0.54814441375812,0.578550017912637,0.582038943487468,0.557279997331886,0.594186492305039,0.556640180180004,0.561821534623064,0.587506804578738,0.55638664480008,0.576236182099715,0.562383398237078,0.562339992639467,0.557941239293888,0.56409121736313,0.592605391775017,0.561718218873699,0.542584844191626,0.556230740066197,0.555455943867655,0.576970556700112,0.5520786840655,0.571775093097732,0.59400102571379
"BPM 02_1_Hold_Espaco.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","BPM 02_1_Hold_Espaco.Queue",0.288198994299554,0.334669321177154,0.316987067303123,0.309204941122516,0.282795850256728,0.344476490844125,0.352160683081569,0.340350701838826,0.297779591659259,0.298256573992187,0.327985415586947,0.279933288199155,0.318870990553474,0.31486073100537,0.290140451509004,0.318526149702941,0.304343967200908,0.311555292361035,0.324655106309254,0.330062258189079,0.310683098692134,0.284007389798245,0.319613181349122,0.341067420209625,0.3310480749697,0.3248987315415,0.302560564679495,0.33738287932297,0.301385206703458,0.281229360524937
"BPM 02_1_Hold_Espaco.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","BPM 02_1_Hold_Espaco.Queue",22.1632337405265,27.535156118679,25.5833944278278,24.19864756611,21.3766941926345,28.9661983541922,29.6990561427502,27.6895486241757,23.1230768003579,22.9780415944732,26.459327643989,21.1325785062534,25.6164143038774,24.9586547826929,21.8887163515022,25.6244500319685,23.3424933565544,24.9244233888828,25.5795070136655,26.4049806551263,24.7173293987111,21.4964857455702,25.4277890134108,28.0249406620177,26.6690477178388,25.9558487334125,23.5506601696472,27.3322838945191,23.416898018544,21.2026324165397
"BPM 02_1_Hold_RecursoCarro.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","BPM 02_1_Hold_RecursoCarro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23292609022848E-04,0,0,0,0,7.40192242056866E-04,0,0,0,0,0,0,0,0,0,0
"BPM 02_1_Hold_RecursoCarro.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","BPM 02_1_Hold_RecursoCarro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03502734668219E-02,0,0,0,0,5.97129875945034E-02,0,0,0,0,0,0,0,0,0,0
"BPM 02_CapacitoresProduzidos Value","DSTAT AVERAGE","Variable","User Specified","BPM 02_CapacitoresProduzidos",337420.284983327,320788.415931888,325541.278252461,333207.262484569,346694.611479976,307018.66161669,311678.815663278,331200.92742254,336016.58449151,347175.322879401,327692.739029157,342403.254237502,325478.766441195,337004.183212114,340728.85756739,320721.748872995,342912.39360675,327497.838220221,330948.954730175,332218.836352042,331555.824527361,338171.539497739,331345.010516911,317673.083850562,328634.316510172,332017.619771605,335883.244231041,324203.362823664,343688.465163071,353711.101062374
"BPM 02_Q.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","BPM 02_Q",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BPM 02_Setup Value","DSTAT AVERAGE","Variable","User Specified","BPM 02_Setup",4.38702515368369E-02,3.63833114682793E-02,4.02400273239385E-02,4.29697438951622E-02,4.23332828586582E-02,3.88865992985104E-02,0.03920263260295,3.89843144963953E-02,4.26646948348385E-02,3.59474611924553E-02,4.04657669215313E-02,4.22418331282452E-02,3.70098525916611E-02,4.31447313293453E-02,4.01311062243133E-02,4.29761227787153E-02,4.18615754376162E-02,4.55034239750473E-02,4.07307795870722E-02,4.26566362318916E-02,4.22786349239955E-02,4.26741283761211E-02,0.040498843809605,0.041506106460133,3.99655371521277E-02,4.20777355376439E-02,0.041235461135736,3.97231549321032E-02,4.05942265658779E-02,3.82654072370934E-02
"BPM 02_SetupsRealizados Value","DSTAT AVERAGE","Variable","User Specified","BPM 02_SetupsRealizados",22.6678188552875,21.3511180113727,22.6099640515737,22.5826635076991,22.7240097268167,21.6829899412077,21.6126373297455,22.2419825564812,22.5055913058171,21.8366498400724,22.0141021150823,22.7123506961371,21.439557727398,22.7291866330736,22.1536184363953,21.8558710182006,23.8575517587386,22.6283078859214,22.3482841698466,22.3006159766267,22.6980793727793,22.5587870910356,22.2975804386051,21.9007265038247,21.5434297689952,22.5289641947544,23.190363990587,22.1107213939714,22.9315567988087,21.8530649539303
"BPM 02_UltimaOrdemCompleta Value","DSTAT AVERAGE","Variable","User Specified","BPM 02_UltimaOrdemCompleta",24.867622854277,24.299152957775,24.8326867829088,24.7717650805462,24.9440114425037,23.8305950703458,23.7733704398678,24.4498510964318,24.6866299435394,24.8405079749748,24.1809815847294,24.9176921371123,24.3502501951106,24.916532777043,24.3178182834451,24.0069472690533,25.1569631022039,24.8308342062383,24.5374315334513,24.5159231508453,24.8693693768729,24.7587812775394,24.4806733381274,24.0721157453331,24.3412300711212,24.7072122614699,24.4019347777229,24.2903752506782,25.104245671635,24.8416946728906
"BPM 04 Extra.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","BPM 04 Extra",0.542523139882219,0.522749088003425,0.54259468111631,0.544897226475667,0.541668222023418,0.531455936010542,0.516664244325172,0.524593492956199,0.533805751252406,0.538211587763257,0.523897382996328,0.536294657428388,0.533280414305089,0.542994222545157,0.526754896319641,0.520592801921019,0.548332545024485,0.547040807551649,0.530494817351756,0.535581006493805,0.544415539574667,0.525151902812173,0.517544597689714,0.523369160996493,0.529364753626696,0.543256945796717,0.529303344051252,0.528611083080921,0.542336218641492,0.534393215384957
"BPM 04 Extra.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","BPM 04 Extra",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BPM 04 Extra.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","BPM 04 Extra",0.542523139882219,0.522749088003425,0.54259468111631,0.544897226475667,0.541668222023418,0.531455936010542,0.516664244325172,0.524593492956199,0.533805751252406,0.538211587763257,0.523897382996328,0.536294657428388,0.533280414305089,0.542994222545157,0.526754896319641,0.520592801921019,0.548332545024485,0.547040807551649,0.530494817351756,0.535581006493805,0.544415539574667,0.525151902812173,0.517544597689714,0.523369160996493,0.529364753626696,0.543256945796717,0.529303344051252,0.528611083080921,0.542336218641492,0.534393215384957
"BPM 04 Extra_1_Hold_Espaco.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","BPM 04 Extra_1_Hold_Espaco.Queue",0.293190618182658,0.317503875768071,0.305694903483184,0.306113124026134,0.299461712931061,0.3179325237815,0.336261378930442,0.326926543874989,0.306891611479502,0.306119799850208,0.316079050269233,0.302380489419847,0.310766655697422,0.298674443006864,0.316507248771566,0.329707861854394,0.302507535054392,0.299791117677583,0.31260632682851,0.317088009353332,0.299230116906682,0.31782727559306,0.328648065491466,0.315260963817084,0.31166964578192,0.309109624642979,0.316189471148831,0.321491590681694,0.301423338546317,0.31110770443766
"BPM 04 Extra_1_Hold_Espaco.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","BPM 04 Extra_1_Hold_Espaco.Queue",25.6659819668353,29.075076699906,27.0477992192634,27.3574511540417,26.7841532062564,28.613927140335,31.4206646204152,30.2748696578768,27.5771557273312,27.2527055198948,29.3647633798513,27.0752411246528,28.0563631507841,26.8806998706177,29.0861099950574,30.3858765485009,26.9728080791532,26.4036213734385,28.7637770372559,28.8079958024478,26.7219453237595,28.9665365097473,31.0839549627397,29.1477231394287,28.3157280710388,27.7331999679682,28.6360275757432,29.3469344267283,26.6301640673222,27.9560121304357
"BPM 04 Extra_1_Hold_RecursoCarro.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","BPM 04 Extra_1_Hold_RecursoCarro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78644557029252E-05,0,0,0,0,1.14586083034232E-03,0,0,0,0,0,0,0,0,0,0
"BPM 04 Extra_1_Hold_RecursoCarro.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","BPM 04 Extra_1_Hold_RecursoCarro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37682324386377E-03,0,0,0,0,0.105771768954676,0,0,0,0,0,0,0,0,0,0
"BPM 04 Extra_CapacitoresProduzidos Value","DSTAT AVERAGE","Variable","User Specified","BPM 04 Extra_CapacitoresProduzidos",297180.749569337,288941.879213151,297904.059615222,294532.109522978,293012.474613732,282597.35277033,277048.012080121,285740.656771342,296341.343465947,299460.121520199,278248.749963084,292436.795828899,290752.299854135,296142.044957967,283753.922518833,279744.089927809,298545.266799862,298431.240756767,282940.568809704,286011.68518433,295203.768814207,287927.844331355,280064.126298502,279604.214485166,284995.380642726,292248.070870194,286134.860930504,280874.981507362,300333.621204474,288328.139983836
"BPM 04 Extra_Q.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","BPM 04 Extra_Q",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BPM 04 Extra_Setup Value","DSTAT AVERAGE","Variable","User Specified","BPM 04 Extra_Setup",3.98891233591711E-02,3.62165168369523E-02,3.30593546100199E-02,3.70525060193667E-02,3.78856733319872E-02,3.65298052349771E-02,3.90853001102969E-02,0.036007363197635,3.66431333563414E-02,3.90711800525958E-02,3.88126955011686E-02,4.12544950579685E-02,3.74700028273884E-02,3.43359206629429E-02,0.034902710064418,3.93864990839193E-02,3.98716888439804E-02,4.11782796525304E-02,3.98884412251066E-02,0.03299142753554,3.70393686010671E-02,4.40882259776556E-02,3.85267764065808E-02,3.83895074804359E-02,3.48861837221707E-02,3.88458408877546E-02,3.85586304217359E-02,3.90616616531045E-02,3.59510202825717E-02,3.93268852701755E-02
"BPM 04 Extra_SetupsRealizados Value","DSTAT AVERAGE","Variable","User Specified","BPM 04 Extra_SetupsRealizados",22.6808554528692,22.169982147214,21.7997829338299,21.7659191380099,22.731548449792,22.6311035969724,21.6060416772643,21.5773440931206,22.4971062943444,23.337264385672,20.5662757024033,22.7263446998967,22.2378395578116,20.9522505704539,21.6294917808329,21.2197847692845,22.2470792501966,22.6250832604277,22.3603121942144,21.502398914883,21.888823199489,22.5725576325178,21.6234816069814,21.9063789054987,21.3888989624802,22.51755579466,22.238946248809,22.1122633116985,22.1112455316003,22.6735550761599
"BPM 04 Extra_UltimaOrdemCompleta Value","DSTAT AVERAGE","Variable","User Specified","BPM 04 Extra_UltimaOrdemCompleta",24.8258597232132,24.3186699612056,24.7491541550704,24.6920719839104,24.8926171002602,23.8082342168688,23.7770864539809,24.4371149311928,24.6680799064986,24.9075251739141,24.0734714945693,24.8749223109685,24.4202252173551,24.8960934053208,24.2379214503354,23.9570646238346,25.0979954488975,24.8512536331877,24.5040348337072,24.4119885514142,24.8819517787746,24.7129339593626,24.4574068441456,24.0391364425455,24.3242114971778,24.7261759867875,24.4482284440264,24.2573235080042,25.1098303695028,24.8226892943846
"BPM 06.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","BPM 06",0.633240075421963,0.642258048448837,0.606539627700271,0.640406119804479,0.522572641643703,0.631715873498566,0.60672583120838,0.531296864804182,0.635645703260153,0.620873960867399,0.629686484339284,0.50703740878585,0.59980369182422,0.612288363511412,0.628403885381773,0.612398963578731,0.643128180283072,0.640201605901584,0.648767860925203,0.645053379835215,0.537200053063747,0.631577527521457,0.610678471971118,0.546297379361743,0.620265480418116,0.631819054679067,0.651648222756484,0.646726497716886,0.651703949913105,0.640602688670701
"BPM 06.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","BPM 06",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BPM 06.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","BPM 06",0.633240075421963,0.642258048448837,0.606539627700271,0.640406119804479,0.522572641643703,0.631715873498566,0.60672583120838,0.531296864804182,0.635645703260153,0.620873960867399,0.629686484339284,0.50703740878585,0.59980369182422,0.612288363511412,0.628403885381773,0.612398963578731,0.643128180283072,0.640201605901584,0.648767860925203,0.645053379835215,0.537200053063747,0.631577527521457,0.610678471971118,0.546297379361743,0.620265480418116,0.631819054679067,0.651648222756484,0.646726497716886,0.651703949913105,0.640602688670701
"BPM 06_5_Hold_Espaco.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","BPM 06_5_Hold_Espaco.Queue",0.184626212859692,0.180962566030747,0.217918791439352,0.186380705604083,0.331121785943026,0.18241236582537,0.224688522163509,0.315279432636419,0.190269523632183,0.2218147545334,0.192377492502494,0.35221389745673,0.227399473869572,0.220133951703902,0.195229360841582,0.227981326076352,0.184511361335914,0.183764350799984,0.185170552481712,0.179149041811382,0.315116678128198,0.187233840281191,0.223442374740172,0.309818712631794,0.222332391733518,0.192036519158793,0.177932130040673,0.18252482184658,0.174405397501138,0.185940522298055
"BPM 06_5_Hold_Espaco.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","BPM 06_5_Hold_Espaco.Queue",15.4122751604612,14.9547256863286,20.4099551006613,15.446803802583,31.3694323524972,15.8475901531543,21.0439981733628,29.3456007106416,15.8146097564412,20.4097921104215,16.1294666202965,37.709145898713,21.6142074173059,20.5839539255597,16.344783698365,21.2487449546891,15.3360092538941,15.3181282287686,15.2151552395815,15.3556321552613,29.4654556171822,15.7210921285665,20.758517395216,28.7368081281664,20.4901532221611,16.100878462222,15.0940952729643,15.0622202555344,14.7949203182114,15.4547966585397
"BPM 06_5_Hold_RecursoCarro.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","BPM 06_5_Hold_RecursoCarro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74076003901039E-04,0,0,0,0,6.44943592693734E-05,0,0,0,0,0,0,0,0,0,0
"BPM 06_5_Hold_RecursoCarro.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","BPM 06_5_Hold_RecursoCarro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45738049777614E-02,0,0,0,0,5.53632651850359E-03,0,0,0,0,0,0,0,0,0,0
"BPM 06_CapacitoresProduzidos Value","DSTAT AVERAGE","Variable","User Specified","BPM 06_CapacitoresProduzidos",316141.132186299,321483.955719325,270355.436473944,321552.5720557,299608.07292846,291636.10506293,270556.457052693,298990.893479943,322288.665821511,273870.297173281,318606.202517519,254867.072042664,264372.53458003,268392.042017369,315481.421241826,270824.053171905,318093.53164517,320027.882196446,325764.484693717,295318.613455434,297899.76579148,316408.650944409,271047.604999504,302408.135814306,272361.229562925,316710.013141411,298241.252534849,322495.115878696,299544.324362996,318903.967393081
"BPM 06_Q.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","BPM 06_Q",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BPM 06_Setup Value","DSTAT AVERAGE","Variable","User Specified","BPM 06_Setup",2.80287601319218E-02,2.71954014821885E-02,2.59068967362901E-02,2.67762697239957E-02,2.58583987907978E-02,0.027278139064283,2.72029893511624E-02,2.93697308127128E-02,2.67750500745424E-02,2.71521969055124E-02,2.94821665206907E-02,2.85972438230567E-02,2.65490636797353E-02,2.77878312287019E-02,2.75285444609266E-02,2.62620188512531E-02,3.05771028358745E-02,2.84570298559278E-02,2.72501352785057E-02,2.82844260203876E-02,2.68238539915272E-02,2.73779491074464E-02,2.89080920255566E-02,2.83548968016086E-02,2.62609817360517E-02,2.83721467387414E-02,2.85863054427003E-02,0.027158159877082,2.59371429105181E-02,2.86948474874661E-02
"BPM 06_SetupsRealizados Value","DSTAT AVERAGE","Variable","User Specified","BPM 06_SetupsRealizados",16.7652955502012,16.1252343905782,15.0118912760902,16.8558511197242,15.8469729866251,14.6069618727804,14.983547384734,15.8309707048143,17.2882750289768,15.5792089870155,17.0080302198645,14.5330773214257,15.710645269731,15.734102088361,16.7510180430676,14.6451532927237,17.3905871851767,16.4697108593168,16.2658669676296,14.7959199064731,15.886667127297,15.9737392270477,15.5166607244334,15.8565975362442,14.7065616300201,15.9713063721422,14.9170465192865,16.5594361827471,15.6907099676225,16.1031461139891
"BPM 06_UltimaOrdemCompleta Value","DSTAT AVERAGE","Variable","User Specified","BPM 06_UltimaOrdemCompleta",222.356781123616,222.578671215805,221.970069860558,222.732008080431,222.532210335541,220.726282530872,221.489172028274,222.281971176846,223.235160159086,221.634960761486,223.233734643115,221.217580161933,221.45332217588,221.517636684376,222.881648941961,221.234121954382,222.922317199278,223.027731284637,222.920868010451,221.088013854227,222.278711338257,222.550197559471,221.680006317279,222.415579958968,221.475539913618,222.333993771659,221.046423267718,222.635265427991,221.50746497234,222.404052282444
"BPM 07.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","BPM 07",0.567675878948345,0.541308678532757,0.549081101468503,0.54597391994609,0.572091727770338,0.548270227018453,0.548136225712807,0.54749136610432,0.572352583551105,0.569669600339035,0.560634435830287,0.572106794673588,0.553478343944664,0.538772985769891,0.568459589311117,0.539848946531347,0.579963980546962,0.550241926658483,0.534917623288733,0.551089510792197,0.557095690233486,0.586210222263311,0.588599044431973,0.537882933319673,0.546961645707698,0.549971293471948,0.568905786849062,0.532304081668184,0.564080535938849,0.581920350363951
"BPM 07.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","BPM 07",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BPM 07.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","BPM 07",0.567675878948345,0.541308678532757,0.549081101468503,0.54597391994609,0.572091727770338,0.548270227018453,0.548136225712807,0.54749136610432,0.572352583551105,0.569669600339035,0.560634435830287,0.572106794673588,0.553478343944664,0.538772985769891,0.568459589311117,0.539848946531347,0.579963980546962,0.550241926658483,0.534917623288733,0.551089510792197,0.557095690233486,0.586210222263311,0.588599044431973,0.537882933319673,0.546961645707698,0.549971293471948,0.568905786849062,0.532304081668184,0.564080535938849,0.581920350363951
"BPM 07_4_Hold_Espaco.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","BPM 07_4_Hold_Espaco.Queue",0.267516978216762,0.30029567308965,0.300910480838584,0.299736403117426,0.267480836968724,0.301120847864459,0.29453804868261,0.302673511802887,0.274493926005104,0.267037432780143,0.285918910382025,0.264501740645683,0.290760199429813,0.307984221226074,0.271698237459371,0.304971328031481,0.260750663291554,0.297857351332658,0.308347416605457,0.301111503280122,0.290517247140126,0.251509563566871,0.251072681870969,0.314010643181607,0.30553517870771,0.305850296829146,0.274357091271527,0.315787471840383,0.281751273205366,0.26090657764024
"BPM 07_4_Hold_Espaco.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","BPM 07_4_Hold_Espaco.Queue",28.480788514553,33.2895609074725,33.0689227632282,32.9481237014576,28.1661722292477,33.1635962466402,32.2010334219358,33.3984564748013,28.7993627284044,28.1194810386402,30.7256142500087,27.7363903120455,31.5995990323721,34.5806844885417,28.8210285039774,34.1094145526472,27.1595627587585,32.6170787771123,34.5541073861368,33.0362335027335,31.3366918263507,25.7774926360352,25.5960822579962,35.3953288596097,33.7142266160232,33.369954394901,28.9810482355825,35.9034369900545,29.8874278759284,26.9322918854441
"BPM 07_4_Hold_RecursoCarro.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","BPM 07_4_Hold_RecursoCarro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71913375341468E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BPM 07_4_Hold_RecursoCarro.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","BPM 07_4_Hold_RecursoCarro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88438497599789E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BPM 07_CapacitoresProduzidos Value","DSTAT AVERAGE","Variable","User Specified","BPM 07_CapacitoresProduzidos",254642.875393383,244485.068502987,250610.930521563,243972.988327888,257255.653006926,248029.859494007,242625.179017205,247684.632737213,251328.117308975,253393.666301559,247680.764310502,254895.218755384,250303.734954178,242263.291592143,252291.261031455,243102.420476185,263591.912107506,247549.739894186,240998.60665252,247692.599690885,247595.973513723,263398.747925053,262681.192524154,239010.393169805,244870.820069953,248799.408498713,251825.824856824,239729.081364086,251691.649756466,259501.150233192
"BPM 07_Q.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","BPM 07_Q",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BPM 07_Setup Value","DSTAT AVERAGE","Variable","User Specified","BPM 07_Setup",0.007688607575232,7.21315404690688E-03,7.15124116758443E-03,7.33997475648058E-03,6.71458766352396E-03,7.65619535736463E-03,6.75633316053167E-03,6.99992859603256E-03,7.18333997722056E-03,8.44524981328044E-03,7.44598245193519E-03,7.22042325812685E-03,7.31418015691369E-03,7.3724069005106E-03,8.81138676420291E-03,7.23951701388057E-03,6.56450351730196E-03,7.60851152166008E-03,7.21049315613493E-03,7.97477413543389E-03,6.14857314679216E-03,7.14567585826867E-03,7.74460589313988E-03,7.20088601797904E-03,8.21560789611097E-03,8.46292276727677E-03,7.68377745707451E-03,8.08072904817542E-03,6.79672676125855E-03,7.60728145480054E-03
"BPM 07_SetupsRealizados Value","DSTAT AVERAGE","Variable","User Specified","BPM 07_SetupsRealizados",9.59494133632271,9.73217146435404,9.49854129766824,9.5903847240721,9.51865651273098,9.6391837098817,9.45994115941962,9.69457865157223,9.39635809581136,9.42532390775805,9.69955317884738,9.60935597249778,9.71713440639856,9.4956367988593,9.57851938351285,9.68131868573663,9.79021865612591,9.50655212519512,9.59789815031548,9.88801463627691,9.63215727327771,9.68797621323158,9.75574543966169,9.20628215065438,9.450374249602,9.8738535705077,9.71563429501849,9.38224612810482,9.53512065444845,9.6743488702902
"BPM 07_UltimaOrdemCompleta Value","DSTAT AVERAGE","Variable","User Specified","BPM 07_UltimaOrdemCompleta",182.556343112649,182.588481172312,182.526172219144,182.687843836982,182.431642528842,182.558816985278,182.481732210593,182.584304168964,182.42184782178,182.447687016665,182.624632631687,182.749730491904,182.829168214296,182.306845445231,182.738685496007,182.435543804946,182.996310572581,182.34810807061,182.55071432576,182.834129820867,182.737858421306,182.865854886666,182.813407373744,182.398139601348,182.551175052789,182.488505111224,182.565776476783,182.471450962574,182.66467237929,182.743762863286
"BPM 08.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","BPM 08",0.582619658987161,0.623515563704021,0.600317635375932,0.632243946509982,0.573709420587162,0.627849165105033,0.610337094454109,0.607614259564474,0.574943814074586,0.56713125306641,0.635927555137155,0.582115081467563,0.621646448463105,0.619470206856363,0.585461377627164,0.61377145027897,0.5877820725503,0.620036873069434,0.60975474596333,0.621372360264385,0.626078638304606,0.576017022069968,0.593022517168173,0.603446537136664,0.604415664020352,0.625598935449197,0.580429080411831,0.613733718620825,0.560793467843517,0.587501972833777
"BPM 08.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","BPM 08",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BPM 08.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","BPM 08",0.582619658987161,0.623515563704021,0.600317635375932,0.632243946509982,0.573709420587162,0.627849165105033,0.610337094454109,0.607614259564474,0.574943814074586,0.56713125306641,0.635927555137155,0.582115081467563,0.621646448463105,0.619470206856363,0.585461377627164,0.61377145027897,0.5877820725503,0.620036873069434,0.60975474596333,0.621372360264385,0.626078638304606,0.576017022069968,0.593022517168173,0.603446537136664,0.604415664020352,0.625598935449197,0.580429080411831,0.613733718620825,0.560793467843517,0.587501972833777
"BPM 08_4_Hold_Espaco.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","BPM 08_4_Hold_Espaco.Queue",0.295425760834105,0.242556640734268,0.260687307787806,0.230521265083729,0.303247885284606,0.23921042210409,0.255006768698294,0.251722573228574,0.29774240332954,0.313592621443529,0.224944186503087,0.292457088694684,0.238568248022258,0.24394860044382,0.291365635243187,0.251504552832354,0.28686018330841,0.247378900991243,0.261521671624809,0.243001183656769,0.242793115201734,0.303435626598959,0.280673389297631,0.270682069809894,0.259431995254802,0.246258347323989,0.29457524281563,0.249236241030112,0.314524879705856,0.288968942716738
"BPM 08_4_Hold_Espaco.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","BPM 08_4_Hold_Espaco.Queue",23.151733093938,17.7503401731724,19.8024437601392,16.6391289082992,24.2974423645563,17.3971216075702,19.0510893346586,18.8255354855742,23.7534105703345,25.3265017533586,16.2365728603732,22.9816211579997,17.6173475462591,17.9227543183215,22.86466020437,18.7408308449464,22.2384206710153,18.195373988598,19.5675548801908,17.921726221037,17.6576811055806,24.1737646187529,21.8175266174677,20.5689805027044,19.6622143772061,17.9550389947617,23.3391113977721,18.6441655627721,25.5523738660893,22.52315439849
"BPM 08_4_Hold_RecursoCarro.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","BPM 08_4_Hold_RecursoCarro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50614213965059E-04,0,0,0,0,2.70376019489049E-04,0,0,0,0,0,0,0,0,0,0
"BPM 08_4_Hold_RecursoCarro.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","BPM 08_4_Hold_RecursoCarro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75893151972505E-02,0,0,0,0,0.019966229131499,0,0,0,0,0,0,0,0,0,0
